state
"[10.722656, 190.63477, 167.69531, 70.83984, 1.23046875, 0.8667389]"
"[10.722656, 190.63477, 167.69531, 70.48828, 1.3183594, 0.8667389]"
"[7.8222656, 190.72266, 167.69531, 70.13672, 4.3066406, 0.8667389]"
"[4.04296875, 190.72266, 167.69531, 69.78516, 6.064453, 0.8667389]"
"[1.4941406, 190.01953, 167.69531, 69.697266, 6.85546875, 0.8667389]"
"[1.0546875, 190.72266, 167.69531, 69.609375, 7.55859375, 0.8667389]"
"[1.1425781, 190.45898, 167.69531, 69.609375, 7.998047, 0.8667389]"
"[0.52734375, 190.2832, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.17578125, 190.19531, 167.69531, 69.609375, 7.734375, 0.8667389]"
"[-1.0546875, 190.19531, 167.69531, 69.609375, 7.8222656, 0.8667389]"
"[-1.1425781, 190.19531, 167.69531, 69.609375, 8.0859375, 0.8667389]"
"[-1.1425781, 190.19531, 167.69531, 69.609375, 8.525391, 0.8667389]"
"[-0.87890625, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.613281, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.261719, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.4375, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.701172, 0.8667389]"
"[-0.7910156, 190.19531, 167.69531, 69.609375, 8.964844, 0.8667389]"
"[-0.9667969, 190.19531, 167.69531, 69.609375, 9.316406, 0.8667389]"
"[-1.0546875, 190.19531, 167.69531, 69.609375, 9.4921875, 0.8667389]"
"[-1.0546875, 190.19531, 167.69531, 69.609375, 9.667969, 0.8667389]"
"[-1.0546875, 190.19531, 167.69531, 69.609375, 9.667969, 0.8667389]"
"[-1.0546875, 190.19531, 167.69531, 69.609375, 9.667969, 0.8667389]"
"[-1.0546875, 190.19531, 167.69531, 69.609375, 9.667969, 0.8667389]"
"[-1.0546875, 190.19531, 167.69531, 69.697266, 9.84375, 0.8667389]"
"[-0.9667969, 189.93164, 167.43164, 69.87305, 10.283203, 0.8667389]"
"[-0.87890625, 189.05273, 166.9043, 69.96094, 10.546875, 0.8667389]"
"[-0.52734375, 187.64648, 165.32227, 70.22461, 10.810547, 0.8667389]"
"[-0.087890625, 185.71289, 162.59766, 70.927734, 11.074219, 0.8667389]"
"[0.6152344, 183.7793, 160.57617, 71.89453, 11.074219, 0.8667389]"
"[1.93359375, 181.9336, 157.85156, 72.77344, 10.634766, 0.8667389]"
"[3.1640625, 180.35156, 155.12695, 74.0918, 10.458984, 0.8667389]"
"[3.6035156, 178.94531, 152.05078, 75.234375, 10.283203, 0.8667389]"
"[3.6035156, 177.01172, 148.44727, 76.552734, 10.283203, 0.8667389]"
"[3.515625, 174.99023, 145.10742, 79.01367, 9.755859, 0.8667389]"
"[3.2519531, 172.17773, 141.328125, 80.5957, 10.107422, 0.8667389]"
"[2.98828125, 169.10156, 136.9336, 82.5293, 10.458984, 0.8667389]"
"[2.9003906, 166.11328, 132.36328, 84.46289, 10.722656, 0.8667389]"
"[2.9003906, 163.21289, 127.44141, 85.69336, 11.425781, 0.8667389]"
"[2.9003906, 160.40039, 122.958984, 87.27539, 12.3046875, 0.8667389]"
"[2.9003906, 157.67578, 118.03711, 89.12109, 13.447266, 0.8667389]"
"[2.8125, 154.51172, 113.02734, 91.49414, 14.589844, 0.8667389]"
"[2.109375, 151.08398, 107.666016, 94.39453, 16.171875, 0.8667389]"
"[1.4941406, 147.1289, 101.953125, 97.646484, 17.578125, 0.8667389]"
"[0.9667969, 142.734375, 95.88867, 100.546875, 18.984375, 0.8667389]"
"[0.6152344, 138.25195, 90.0, 102.56836, 20.566406, 0.8667389]"
"[0.17578125, 133.85742, 83.759766, 103.359375, 21.796875, 0.8667389]"
"[0.0, 130.078125, 77.87109, 103.71094, 22.5, 0.8667389]"
"[0.0, 125.68359, 71.98242, 104.32617, 23.027344, 0.8667389]"
"[-0.087890625, 121.9043, 67.41211, 104.677734, 23.466797, 0.8667389]"
"[-0.087890625, 118.38867, 62.9296875, 104.94141, 24.082031, 0.8667389]"
"[0.0, 115.48828, 58.623047, 105.0293, 24.345703, 0.8667389]"
"[-0.17578125, 112.76367, 54.75586, 105.20508, 24.609375, 0.8667389]"
"[-0.3515625, 110.21484, 52.11914, 105.20508, 24.697266, 0.8667389]"
"[-0.52734375, 107.8418, 50.2734375, 105.20508, 24.697266, 0.8667389]"
"[-0.7910156, 105.64453, 49.13086, 105.29297, 24.433594, 0.8667389]"
"[-0.7910156, 103.71094, 48.691406, 105.29297, 24.2578125, 0.8667389]"
"[-0.703125, 101.953125, 48.8671875, 105.29297, 24.345703, 0.8667389]"
"[-0.3515625, 100.546875, 49.13086, 105.29297, 24.609375, 0.8667389]"
"[0.087890625, 99.31641, 49.5703125, 105.29297, 24.785156, 0.8667389]"
"[0.52734375, 98.17383, 50.185547, 105.29297, 24.785156, 0.8667389]"
"[0.9667969, 97.55859, 51.064453, 105.29297, 24.697266, 0.8667389]"
"[1.23046875, 96.76758, 51.416016, 105.29297, 24.433594, 1.3001083]"
"[1.58203125, 96.328125, 51.591797, 105.29297, 24.2578125, 3.3586133]"
"[1.58203125, 96.06445, 51.591797, 105.29297, 24.2578125, 5.417118]"
"[1.58203125, 96.06445, 51.591797, 105.29297, 24.2578125, 9.317443]"
"[1.4941406, 95.97656, 51.591797, 105.29297, 24.2578125, 14.084508]"
"[1.4941406, 95.97656, 51.591797, 105.29297, 24.2578125, 20.368364]"
"[1.4941406, 95.97656, 51.94336, 105.29297, 24.2578125, 26.65222]"
"[1.4941406, 95.97656, 52.3828125, 105.29297, 24.2578125, 31.960997]"
"[1.4941406, 95.88867, 52.910156, 105.29297, 24.2578125, 36.403034]"
"[1.4941406, 95.88867, 53.4375, 105.29297, 24.2578125, 40.4117]"
"[1.4941406, 95.88867, 54.140625, 105.29297, 24.2578125, 43.987]"
"[1.4941406, 95.88867, 54.93164, 105.29297, 24.2578125, 46.37053]"
"[1.4941406, 95.88867, 55.810547, 105.29297, 24.2578125, 48.64572]"
"[1.4941406, 95.88867, 56.42578, 105.29297, 24.2578125, 50.595886]"
"[1.4941406, 95.88867, 57.128906, 105.29297, 24.2578125, 51.895992]"
